gene_id	gene_name	chr	tss	gene_expr_log2_mean
ENSG00000260205.1	RP11-108B14.5	chr10	22507002	0.000000
ENSG00000164609.5	SLU7	chr5	159831576	2.448901
ENSG00000211681.2	IGLJ5	chr22	23256407	0.000000
ENSG00000219622.1	RP11-291C6.1	chr6	150831386	0.000000
ENSG00000249213.1	RP11-98P2.1	chr8	26114094	0.000000
ENSG00000083622.8	AC000111.6	chr7	117287419	0.000000
ENSG00000254648.1	RP11-713P17.4	chr11	133906952	0.000000
ENSG00000234186.2	C16orf82	chr16	27078027	0.000000
ENSG00000251901.1	snR65	chr13	96366982	0.000000
ENSG00000258108.1	RP11-1028N23.3	chr12	116007468	0.000000
ENSG00000225712.1	ATP5G2P1	chr1	209441518	0.000000
ENSG00000236205.1	RP3-406C18.1	chrX	141236602	0.000000
ENSG00000116329.6	OPRD1	chr1	29138653	0.000000
ENSG00000228887.2	EEF1DP1	chr19	14181153	0.000000
ENSG00000251814.1	RN7SKP18	chr6	117620526	0.000000
ENSG00000213871.3	TAF9BP1	chr3	25796415	0.000000
ENSG00000239166.1	snoU13	chr1	6812778	0.000000
ENSG00000133401.11	PDZD2	chr5	31639516	0.000000
ENSG00000124693.2	HIST1H3B	chr6	26032238	0.000000
ENSG00000233717.1	RP11-68I18.2	chr1	151085154	0.000000
ENSG00000213865.3	C8orf44	chr8	67579849	0.659925
ENSG00000260958.2	RP11-488I20.8	chr16	34442307	0.028569
ENSG00000141219.11	C17orf80	chr17	71228371	2.361768
ENSG00000266059.1	RN7SL140P	chr2	20375106	0.000000
ENSG00000227860.1	MTND5P18	chr1	238114786	0.000000
ENSG00000234007.1	AC020601.1	chr2	138683927	0.000000
ENSG00000230343.1	AC018892.8	chr2	97700178	0.000000
ENSG00000231079.3	AC105402.4	chr2	149643103	0.000000
ENSG00000272600.1	AC007308.7	chr22	21245452	0.000000
ENSG00000178836.6	AC114812.5	chr2	234663865	0.000000
ENSG00000259132.1	RP11-298I3.5	chr14	23451417	0.000000
ENSG00000262267.1	U95743.1	chr16	13873555	0.000000
ENSG00000239114.1	snoU13	chr16	30290622	0.000000
ENSG00000089177.13	KIF16B	chr20	16385462	0.310340
ENSG00000214753.2	HNRNPUL2	chr11	62491407	0.189034
ENSG00000239981.1	OR2A15P	chr7	143816403	0.000000
ENSG00000251618.1	AC007322.3	chrY	24041540	0.000000
ENSG00000240622.1	RP11-521J5.1	chr3	123871860	0.000000
ENSG00000254198.1	RP11-598P20.3	chr8	42981490	0.000000
ENSG00000134532.11	SOX5	chr12	23737496	0.028569
ENSG00000250486.2	FAM218A	chr4	165878099	0.111031
ENSG00000247765.1	RP11-32B5.7	chr15	21968101	0.056584
ENSG00000206536.1	OR5K3	chr3	98109509	0.000000
ENSG00000256963.1	RP11-216P16.4	chr12	121517644	0.000000
ENSG00000207287.1	RNU6-1274P	chr10	98502923	0.000000
ENSG00000229970.3	AC007128.1	chr7	8301893	0.000000
ENSG00000153179.7	RASSF3	chr12	65004292	0.485427
ENSG00000177335.6	C8orf31	chr8	144120625	0.000000
ENSG00000204119.1	LINC00684	chrX	72158002	0.000000
ENSG00000077721.11	UBE2A	chrX	118708500	3.361768
ENSG00000224977.1	RP11-160H22.3	chr1	173991646	0.000000
ENSG00000251325.1	RP11-415C15.3	chr4	27268845	0.000000
ENSG00000258510.2	RP11-493G17.4	chr14	77825765	0.000000
ENSG00000264901.1	MIR3616	chr20	45795608	0.000000
ENSG00000232237.2	ASCL5	chr1	201084746	0.000000
ENSG00000188677.10	PARVB	chr22	44395090	3.835924
ENSG00000224132.2	AC112715.2	chr2	238165733	0.000000
ENSG00000271835.1	RP11-129K12.4	chr3	37026925	0.000000
ENSG00000225724.1	LL22NC03-80A10.11	chr22	22693925	0.000000
ENSG00000226238.1	AC132807.1	chr3	18031514	0.000000
ENSG00000246422.2	CTD-2024I7.13	chr5	140937877	0.000000
ENSG00000178104.15	PDE4DIP	chr1	144837379	0.000000
ENSG00000143515.12	ATP8B2	chr1	154298028	0.378512
ENSG00000268265.1	AP000304.1	chr21	34947630	0.000000
ENSG00000213500.3	LAP3P2	chr6	36641593	0.000000
ENSG00000141696.8	LEPREL4	chr17	39963050	0.000000
ENSG00000171209.3	CSN3	chr4	71108304	0.000000
ENSG00000264038.1	AC091132.2	chr17	43494222	0.000000
ENSG00000165233.13	C9orf89	chr9	95858499	0.109624
ENSG00000215961.1	MIR297	chr4	111781753	0.000000
ENSG00000268566.1	RP11-687D19.1	chr18	36240701	0.000000
ENSG00000248774.1	RP11-798M19.3	chr4	174250795	0.000000
ENSG00000250322.2	CTB-51E13.1	chr4	124181223	0.000000
ENSG00000164031.12	DNAJB14	chr4	100827704	4.279471
ENSG00000151615.3	POU4F2	chr4	147560044	0.000000
ENSG00000260988.1	RP11-285A1.1	chr15	78433584	0.000000
ENSG00000232688.1	AC007403.1	chr2	67149539	0.000000
ENSG00000229742.1	RP11-365O16.5	chr1	224485347	0.000000
ENSG00000140274.9	DUOXA2	chr15	45406518	0.000000
ENSG00000221290.1	MIR1182	chr1	231155620	0.000000
ENSG00000237149.4	ZNF503-AS2	chr10	77160758	0.000000
ENSG00000101019.17	UQCC1	chr20	33892429	0.222392
ENSG00000132824.9	SERINC3	chr20	43133482	6.113950
ENSG00000207762.1	MIR329-2	chr14	101493436	0.000000
ENSG00000223298.1	RNY3P8	chr13	95963159	0.000000
ENSG00000238168.4	RP11-686G8.1	chr12	112019178	0.000000
ENSG00000112130.12	RNF8	chr6	37321747	5.607034
ENSG00000254214.1	IGHVII-28-1	chr14	106785866	0.000000
ENSG00000164506.10	STXBP5	chr6	147525560	0.028569
ENSG00000254845.1	OR8G7P	chr11	124109120	0.000000
ENSG00000146576.8	C7orf26	chr7	6629647	0.713696
ENSG00000177409.7	SAMD9L	chr7	92777608	5.302319
ENSG00000248796.1	MED15P8	chr2	131960464	0.000000
ENSG00000253979.1	RP11-443C10.2	chr5	178804505	0.000000
ENSG00000260976.1	GS1-120K12.4	chr1	184970658	0.000000
ENSG00000270628.1	RP11-26F2.2	chr15	23116382	0.000000
ENSG00000234583.1	TSPY19P	chrY	6173065	0.000000
ENSG00000231391.1	RP11-95K23.3	chr9	41313944	0.000000
ENSG00000272297.1	RP11-215A19.2	chr4	187476414	0.000000
ENSG00000221122.2	AC098869.1	chr4	40465732	0.000000
ENSG00000186275.7	NBPF12	chr1	146373545	0.028569
ENSG00000143537.9	ADAM15	chr1	155023041	1.594549
ENSG00000131097.2	HIGD1B	chr17	42923720	0.000000
ENSG00000243780.1	RP11-112N19.1	chr15	59818030	0.000000
ENSG00000269811.2	SCGB2B3P	chr19	35136566	0.000000
ENSG00000048540.10	LMO3	chr12	16755080	0.263034
ENSG00000154640.10	BTG3	chr21	18971359	1.687061
ENSG00000136826.10	KLF4	chr9	110250678	0.000000
ENSG00000231420.1	AC113610.1	chr2	151113471	0.000000
ENSG00000248745.2	NMNAT1P4	chr4	146377156	0.000000
ENSG00000237699.1	RP11-199F6.4	chr13	114580580	0.000000
ENSG00000197771.8	MCMBP	chr10	121617699	2.021480
ENSG00000218475.2	RP11-93K7.1	chr6	101879379	0.000000
ENSG00000204456.4	RP11-313I2.10	chr11	89501981	0.000000
ENSG00000212022.1	AC080032.1	chr15	94624370	0.000000
ENSG00000239272.1	RPL21P10	chr14	78150282	0.000000
ENSG00000168765.11	GSTM4	chr1	110198702	3.395063
ENSG00000235090.1	RPL7L1P3	chr7	75552072	0.000000
ENSG00000231298.2	LINC00704	chr10	4698942	0.000000
ENSG00000236763.2	TRMT112P4	chr9	104119076	0.000000
ENSG00000264626.1	RN7SL769P	chr12	110798501	0.000000
ENSG00000232070.4	TMEM253	chr14	21567095	0.000000
ENSG00000239595.2	RN7SL79P	chr17	29792560	0.000000
ENSG00000163728.6	TTC14	chr3	180319917	4.983678
ENSG00000260344.2	RP11-56L13.6	chr16	32224774	0.000000
ENSG00000265943.1	RP11-739L10.1	chr18	20513677	0.000000
ENSG00000189023.6	MAGEB16	chrX	35816458	0.000000
ENSG00000199837.1	RNA5SP71	chr1	182913575	0.000000
ENSG00000170835.10	CEL	chr9	135937364	0.000000
ENSG00000255172.2	OR5AM1P	chr11	56388236	0.000000
ENSG00000228303.1	RP11-10F11.2	chr7	56718339	0.000000
ENSG00000254543.1	HSPD1P2	chr8	7750027	0.000000
ENSG00000127452.4	FBXL12	chr19	9924039	3.596935
ENSG00000253993.1	RP11-451O18.1	chr8	33084615	0.000000
ENSG00000258083.1	OR9A4	chr7	141618616	0.000000
ENSG00000254923.1	RP11-1236K1.8	chr8	11986757	0.000000
ENSG00000253965.1	CTC-329D1.3	chr5	139737329	0.028569
ENSG00000271217.1	RP11-301J7.9	chr10	48254605	0.000000
ENSG00000104313.13	EYA1	chr8	72211293	0.028569
ENSG00000272134.1	RP11-927P21.8	chr17	62877208	0.000000
ENSG00000163738.14	MTHFD2L	chr4	74979890	2.992768
ENSG00000266057.1	AL607076.1	chr10	132793600	0.000000
ENSG00000267881.1	CEA	chr19	42212530	0.000000
ENSG00000134248.9	LAMTOR5	chr1	110948997	6.381975
ENSG00000258663.1	RP11-123M6.2	chr14	101327313	0.000000
ENSG00000258624.1	AC145436.1	chr15	27585670	0.000000
ENSG00000224751.2	SHMT1P1	chr1	44317233	0.000000
ENSG00000250039.3	RP11-17E2.2	chr4	21950637	0.000000
ENSG00000207164.1	Y_RNA	chr14	29370503	0.000000
ENSG00000251616.1	RP11-485M7.3	chr5	132450117	0.000000
ENSG00000230972.1	AP001255.2	chr21	24437812	0.000000
ENSG00000238481.1	snoU13	chr2	157278706	0.000000
ENSG00000257194.2	RP11-567C2.1	chr12	90501515	0.000000
ENSG00000268351.1	AP001888.1	chr11	69587668	0.000000
ENSG00000239602.1	RP11-449H3.1	chr5	145517317	0.000000
ENSG00000228789.2	HCG22	chr6	31021226	0.056584
ENSG00000115474.6	KCNJ13	chr2	233635924	0.000000
ENSG00000100591.3	AHSA1	chr14	77924212	6.328047
ENSG00000169252.4	ADRB2	chr5	148206155	0.111031
ENSG00000257511.1	RP11-278C7.1	chr12	32880271	0.028569
ENSG00000259563.1	CTD-2329K10.1	chr15	44809631	0.000000
ENSG00000127831.6	VIL1	chr2	219283814	0.970854
ENSG00000239581.1	RP11-19G24.1	chr17	35498299	0.000000
ENSG00000256221.1	AE000661.36	chr14	22803065	0.000000
ENSG00000260285.1	RP11-600F24.7	chr14	103995359	0.137504
ENSG00000226299.2	RP6-29D12.4	chrX	53352186	0.000000
ENSG00000261653.1	RP11-21L1.1	chr16	63969681	0.000000
ENSG00000172456.12	FGGY	chr1	59762309	0.622930
ENSG00000225982.1	RP11-538D16.3	chr1	182055685	0.000000
ENSG00000237423.1	RP11-347D21.3	chr20	46617438	0.000000
ENSG00000249484.4	AC091969.1	chr5	152069039	0.000000
ENSG00000270808.1	RP11-574K11.27	chr10	75500531	0.000000
ENSG00000257910.1	RP11-461F16.3	chr12	77271972	0.000000
ENSG00000215695.1	RSC1A1	chr1	15986363	0.056584
ENSG00000236936.1	RP3-329E20.2	chr1	21592574	0.000000
ENSG00000199739.1	RNU6-552P	chr14	45743630	0.000000
ENSG00000227973.1	PIN4P1	chr15	44168392	0.000000
ENSG00000188185.7	LINC00265	chr7	39773230	0.659925
ENSG00000151079.6	KCNA6	chr12	4918341	0.000000
ENSG00000236877.2	RP11-443K8.2	chr2	108842737	0.000000
ENSG00000165533.14	TTC8	chr14	89290496	0.378512
ENSG00000188206.5	HNRNPU-AS1	chr1	245010155	0.659925
ENSG00000261643.1	RP11-529E10.6	chr4	3506134	0.000000
ENSG00000250025.2	CTC-359M8.1	chr5	145754938	0.000000
ENSG00000177476.2	OR2G3	chr1	247768855	0.000000
ENSG00000227963.1	RP5-1074L1.1	chr1	110881743	0.443607
ENSG00000257037.1	RP13-200J3.2	chr12	27649869	0.000000
ENSG00000131951.6	LRRC9	chr14	60386430	0.000000
ENSG00000259591.1	RP11-554D20.1	chr15	61056104	0.000000
ENSG00000232416.2	BPESC1	chr3	138823026	0.000000
ENSG00000047578.8	KIAA0556	chr16	27561453	0.084064
ENSG00000124766.4	SOX4	chr6	21593971	3.553361
ENSG00000241546.1	RP11-767L7.2	chr3	119760036	0.000000
ENSG00000267296.2	CEBPA-AS1	chr19	33793762	0.000000
ENSG00000240874.1	CTD-2515H24.1	chr15	57848527	0.000000
ENSG00000173818.12	ENDOV	chr17	78388964	2.169925
ENSG00000260624.1	RP11-24D15.1	chr15	74164298	0.000000
ENSG00000245213.2	RP11-10K16.1	chr4	174090028	0.163499
ENSG00000167992.8	VWCE	chr11	61036839	0.111031
ENSG00000202293.1	SNORD114-22	chr14	101449262	0.000000
ENSG00000215807.3	KRT18P65	chr6	112683874	0.000000
ENSG00000252030.1	RNU6-1196P	chr4	154186857	0.000000
ENSG00000255915.1	AC113134.1	chr8	47172181	0.000000
ENSG00000242509.2	RN7SL156P	chr20	35498501	0.000000
ENSG00000230291.4	RP11-244J10.1	chr12	80497063	0.000000
ENSG00000213536.2	GNG5P1	chr6	166653931	0.000000
ENSG00000099769.5	IGFALS	chr16	1843683	0.000000
ENSG00000270797.1	RP5-1173I20.1	chr7	39828853	0.000000
ENSG00000158796.12	DEDD	chr1	161100604	2.097611
ENSG00000223921.1	MTND1P27	chr2	140979004	0.000000
ENSG00000272049.1	RP11-480D4.6	chr5	8445598	0.000000
ENSG00000222365.1	SNORD12B	chr20	47896855	0.000000
ENSG00000260172.1	RP11-358M11.3	chr15	57611335	0.000000
ENSG00000237515.6	SHISA9	chr16	12995476	0.641546
ENSG00000256417.1	RP11-1038A11.3	chr12	5399645	0.000000
ENSG00000265598.1	MIR5707	chr7	158384307	0.000000
ENSG00000129244.4	ATP1B2	chr17	7549944	0.000000
ENSG00000246082.2	NUDT16P	chr3	131080741	0.000000
ENSG00000228630.1	HOTAIR	chr12	54360391	0.000000
ENSG00000273221.1	RP5-1180E21.5	chr1	111727633	0.000000
ENSG00000217241.1	CBX3P9	chr6	116774678	0.000000
ENSG00000206589.1	RNU6-354P	chr15	44026433	0.000000
ENSG00000184788.8	SATL1	chrX	84363924	0.000000
ENSG00000262477.1	AC021224.1	chr18	29992144	0.000000
ENSG00000271509.1	RP11-382A18.3	chr8	128304477	0.000000
ENSG00000146376.6	ARHGAP18	chr6	129917970	4.656496
ENSG00000238401.1	snoU13	chr1	207212095	0.000000
ENSG00000229664.1	RP11-536K7.5	chr10	6067940	0.000000
ENSG00000237337.1	RP11-567C20.2	chr1	50641490	0.000000
ENSG00000107159.8	CA9	chr9	35673852	0.000000
ENSG00000177627.5	C12orf54	chr12	48876285	0.000000
ENSG00000187764.7	SEMA4D	chr9	91979516	1.963474
ENSG00000258962.2	RP11-747H7.1	chr14	92175454	0.000000
ENSG00000164494.7	PDSS2	chr6	107533313	3.695994
ENSG00000215817.3	ZC3H11B	chr1	219785354	0.000000
ENSG00000206931.1	RNU6-1042P	chr1	150674341	0.000000
ENSG00000271158.1	RP11-265D19.7	chrX	134599359	0.000000
ENSG00000177138.11	FAM9B	chrX	9001066	0.000000
ENSG00000111701.6	APOBEC1	chr12	7818452	0.000000
ENSG00000228793.1	RP1-223B1.1	chr6	3624931	0.000000
ENSG00000255909.1	RP11-841C19.3	chr12	19566086	0.000000
ENSG00000250888.1	RP11-168A11.1	chr5	79232401	0.000000
ENSG00000233861.1	RP13-36C9.4	chrX	134900580	0.000000
ENSG00000235880.1	RP11-59O6.3	chr9	272952	0.000000
ENSG00000160200.13	CBS	chr21	44479001	0.000000
ENSG00000166889.13	PATL1	chr11	59415309	0.163499
ENSG00000206706.1	Y_RNA	chr16	16408018	0.000000
ENSG00000231246.1	RP5-965F6.2	chr1	112903100	0.000000
ENSG00000240632.2	SPATA31D5P	chr9	84528351	0.000000
ENSG00000207458.1	RNY3P9	chr13	40800963	0.000000
ENSG00000143315.5	PIGM	chr1	160001733	2.028569
ENSG00000081237.14	PTPRC	chr1	198607800	7.218394
ENSG00000271893.1	RP11-762E8.1	chr2	196380373	0.000000
ENSG00000253095.1	RNU6-676P	chr12	11315698	0.000000
ENSG00000250386.1	RP11-432M8.11	chr5	17626018	0.000000
ENSG00000236853.1	OR2R1P	chr7	143186445	0.000000
ENSG00000252559.1	SNORD112	chr8	110608493	0.000000
ENSG00000188868.9	ZNF563	chr19	12444293	0.731183
ENSG00000271543.1	RP11-692M12.5	chr11	47817720	0.000000
ENSG00000124780.9	KCNK17	chr6	39282151	0.000000
ENSG00000234378.1	AC098828.2	chr2	20306540	0.000000
ENSG00000267963.1	AC013469.1	chr2	241053906	0.000000
ENSG00000138463.8	DIRC2	chr3	122513641	0.084064
ENSG00000253089.1	RNU1-104P	chr12	127805899	0.000000
ENSG00000223916.1	RP11-353H3.1	chr3	43527322	0.000000
ENSG00000256502.1	RP11-955H22.2	chr12	127828897	0.000000
ENSG00000119599.12	DCAF4	chr14	73393039	4.559492
ENSG00000130725.3	UBE2M	chr19	59068429	3.137504
ENSG00000124212.5	PTGIS	chr20	48184603	0.000000
ENSG00000167646.9	DNAAF3	chr19	55672007	0.000000
ENSG00000215887.5	ZNF859P	chr1	50307492	0.000000
ENSG00000037637.6	FBXO42	chr1	16579872	0.000000
ENSG00000213973.4	ZNF99	chr19	22952734	0.000000
ENSG00000224408.1	USP9YP22	chrY	9021302	0.000000
ENSG00000204848.4	SPATA31A2	chr9	39884974	0.000000
ENSG00000237062.1	RP11-308N19.3	chr9	109378037	0.000000
ENSG00000226163.1	RP11-167P22.3	chr10	74261503	0.000000
ENSG00000228407.2	RP4-800M22.1	chr1	52626222	0.000000
ENSG00000270082.1	RP11-178L8.8	chr16	87360592	0.000000
ENSG00000256282.1	RP11-504G3.4	chr11	18618068	0.000000
ENSG00000236436.1	AC012361.1	chr2	21059530	0.000000
ENSG00000201680.1	Y_RNA	chr6	31464517	0.000000
ENSG00000234647.1	RP11-503C24.4	chr6	168643617	0.000000
ENSG00000206687.1	RNU1-109P	chr18	798086	0.000000
ENSG00000068654.11	POLR1A	chr2	86255872	5.061776
ENSG00000249818.1	RP11-73G16.3	chr4	152849750	0.000000
ENSG00000267250.1	RP11-118B18.2	chr17	66793913	0.000000
ENSG00000270789.1	RP11-632K20.8	chr15	32753960	0.000000
ENSG00000227459.1	AC079612.2	chr2	240547391	0.000000
ENSG00000241081.1	RP11-488C13.1	chr14	77353043	0.000000
ENSG00000272457.1	RP11-1070A24.2	chr8	54789159	0.000000
ENSG00000147677.6	EIF3H	chr8	117669964	4.650765
ENSG00000214888.2	XXyac-YM21GA2.7	chr9	90474264	0.000000
ENSG00000188662.5	HILS1	chr17	48249247	0.000000
ENSG00000213005.2	PTTG3P	chr8	67680190	0.000000
ENSG00000156735.6	BAG4	chr8	38034050	0.084064
ENSG00000186001.8	LRCH3	chr3	197518096	2.948601
ENSG00000207046.1	RNU6-886P	chr14	37903728	0.000000
ENSG00000206929.1	Y_RNA	chr12	101840602	0.000000
ENSG00000100726.10	TELO2	chr16	1543344	0.799087
ENSG00000259705.1	RP11-227D13.1	chr15	48938147	0.028569
ENSG00000200711.1	RNA5SP28	chr13	51387192	0.000000
ENSG00000212197.1	RNY3P6	chr13	100188600	0.000000
ENSG00000086015.16	MAST2	chr1	46252658	0.214125
ENSG00000212624.1	SNORA26	chr1	52190518	0.000000
ENSG00000254311.1	RP11-52B19.7	chr8	7974421	0.000000
ENSG00000255872.3	RP11-613M10.9	chr9	38068634	0.000000
ENSG00000269054.1	CTD-2619J13.3	chr19	58873950	0.000000
ENSG00000183473.5	SSTR3	chr22	37606955	0.000000
ENSG00000228058.1	RP11-552D4.1	chr1	230138476	0.000000
ENSG00000235597.1	AC013402.2	chr2	105049724	0.000000
ENSG00000252079.1	RNU6-327P	chr12	133412036	0.000000
ENSG00000227071.1	RP11-4E23.2	chr9	20683887	0.000000
ENSG00000237088.1	RP11-73E6.2	chr9	20532549	0.000000
ENSG00000117595.6	IRF6	chr1	209966009	0.028569
ENSG00000262008.1	RP11-510M2.8	chr16	71477709	0.000000
ENSG00000252640.1	snoU109	chr16	68664821	0.000000
ENSG00000263505.1	RP11-78F17.3	chr18	1160355	0.000000
ENSG00000178636.4	RP11-455G16.1	chr4	120133617	0.000000
ENSG00000201436.1	RNU6-660P	chr5	16942010	0.000000
ENSG00000243257.1	RP11-567P17.2	chr3	120441304	0.000000
ENSG00000263743.1	AC017028.2	chr2	239990903	0.000000
ENSG00000228264.1	RP11-350G8.7	chr1	154387563	0.000000
ENSG00000181074.3	OR52N4	chr11	5775922	0.000000
ENSG00000235836.1	AC124944.4	chr3	195570856	0.000000
ENSG00000261308.1	RP11-923I11.7	chr12	52216149	0.000000
ENSG00000116337.11	AMPD2	chr1	110158725	3.480265
ENSG00000264293.1	RN7SL657P	chr1	1341082	0.000000
ENSG00000242428.1	RP11-147N17.1	chr3	58810162	0.084064
ENSG00000136327.6	NKX2-8	chr14	37051762	0.000000
ENSG00000250693.2	RPF2P2	chr4	116549967	0.000000
ENSG00000107438.4	PDLIM1	chr10	96998555	6.160678
ENSG00000221275.1	MIR548I2	chr4	9557887	0.000000
ENSG00000163512.9	AZI2	chr3	28368443	1.613532
ENSG00000252543.1	U3	chr8	8916090	0.000000
ENSG00000272630.1	RP11-344N10.5	chr10	74861005	0.000000
ENSG00000216169.1	AC098650.1	chr3	29410862	0.000000
ENSG00000142609.13	C1orf222	chr1	1858792	0.000000
ENSG00000230934.1	RP11-402P6.2	chrX	70911781	0.000000
ENSG00000176868.1	AL358781.1	chr9	134375487	0.000000
ENSG00000181722.11	ZBTB20	chr3	114102462	1.111031
ENSG00000229542.3	SSU72P7	chr11	4360425	0.000000
ENSG00000263753.2	LINC00667	chr18	5232874	3.372952
ENSG00000230045.3	FAM90A15P	chr8	7114425	0.000000
ENSG00000249820.1	RP11-503I22.2	chr3	133128798	0.000000
ENSG00000257137.1	C12orf80	chr12	52602136	0.000000
ENSG00000101210.6	EEF1A2	chr20	62129137	0.000000
ENSG00000207551.1	MIR608	chr10	102734741	0.000000
ENSG00000233819.1	RP1-43O17.2	chr1	152716774	0.000000
ENSG00000207706.1	MIR518F	chr19	54203268	0.000000
ENSG00000072182.8	ASIC4	chr2	220378891	0.000000
ENSG00000228666.1	KRT18P1	chr6	28938187	0.000000
ENSG00000261123.1	RP11-304L19.3	chr16	2146977	0.000000
ENSG00000207619.1	MIR585	chr5	168690648	0.000000
ENSG00000256210.2	AC005255.3	chr19	14903120	0.000000
ENSG00000260123.1	RP11-326A19.4	chr15	89584453	0.000000
ENSG00000144045.9	DQX1	chr2	74750379	0.056584
ENSG00000255065.1	RP11-680E19.2	chr11	106180771	0.000000
ENSG00000226072.1	AC016772.4	chr2	170517817	0.000000
ENSG00000081870.7	HSPB11	chr1	54394623	3.150560
ENSG00000186704.8	DTX2P1	chr7	76607933	0.000000
ENSG00000135175.5	OCM2	chr7	97619458	0.000000
ENSG00000100380.8	ST13	chr22	41231859	0.400538
ENSG00000229443.1	LINC00433	chr13	89193118	0.000000
ENSG00000111145.3	ELK3	chr12	96588159	1.137504
ENSG00000232612.1	RPL31P35	chr7	54724050	0.000000
ENSG00000129535.8	NRL	chr14	24551087	0.286881
ENSG00000229214.1	LINC00242	chr6	170198871	0.000000
ENSG00000214754.3	AC004870.5	chr7	47092390	0.000000
ENSG00000240625.2	RN7SL403P	chr6	43004188	0.000000
ENSG00000211924.1	IGHD3-9	chr14	106370538	0.000000
ENSG00000215493.3	XXbac-B562F10.11	chr22	20804408	0.000000
ENSG00000225819.1	AC013269.3	chr2	131284214	0.000000
ENSG00000170899.6	GSTA4	chr6	52852750	0.238787
ENSG00000007001.8	UPP2	chr2	158733213	0.000000
ENSG00000060749.10	QSER1	chr11	32914723	0.028569
ENSG00000234425.1	RP11-528G1.2	chr1	160506862	0.000000
ENSG00000235152.1	RP5-865N13.2	chr1	232295836	0.000000
ENSG00000227332.1	RP11-38M15.11	chr13	19433966	0.000000
ENSG00000265953.1	AC092463.1	chr4	6955015	0.000000
ENSG00000256121.1	AC010296.1	chr5	115780780	0.056584
ENSG00000213671.3	OLA1P2	chr17	20678954	0.000000
ENSG00000214881.4	TMEM14D	chr10	70304540	0.000000
ENSG00000255390.1	RP11-732A19.5	chr11	6642681	0.000000
ENSG00000235124.1	KRT8P17	chrX	58011119	0.000000
ENSG00000237393.1	SLC9A3P4	chr10	47965759	0.000000
ENSG00000228165.1	RP11-125K10.5	chr9	4850323	0.000000
ENSG00000244668.1	RP11-103G8.1	chr3	150438573	0.000000
ENSG00000253778.1	RP11-386D6.2	chr8	87778162	0.000000
ENSG00000215456.5	BCRP4	chr22	22972531	0.000000
ENSG00000183269.5	OR52E8	chr11	5878914	0.000000
ENSG00000244515.1	KRT18P34	chr3	156881671	0.000000
ENSG00000183134.4	PTGDR2	chr11	60623394	0.000000
ENSG00000260746.1	RP11-14K3.1	chr16	34879501	0.000000
ENSG00000105887.10	MTPN	chr7	135662014	3.117695
ENSG00000232621.1	C4BPAP2	chr1	207399142	0.000000
ENSG00000170855.3	TRIAP1	chr12	120884123	5.839456
ENSG00000213558.3	HMGN2P32	chr9	110220537	0.000000
ENSG00000235828.4	RPL36AP26	chr7	15741327	0.000000
ENSG00000075388.2	FGF4	chr11	69589882	0.000000
ENSG00000167074.10	TEF	chr22	41763336	0.286881
ENSG00000223592.2	FNDC3CP	chrX	77427869	0.000000
ENSG00000139508.10	SLC46A3	chr13	29278644	0.189034
ENSG00000142102.11	ATHL1	chr11	289134	0.000000
ENSG00000225302.1	RP11-539I5.1	chr10	118609162	1.400538
ENSG00000220154.2	RP11-46B11.2	chr6	79988094	0.000000
ENSG00000271667.1	RP11-338I24.1	chr2	117444913	0.000000
ENSG00000265143.1	RN7SL490P	chr1	26675160	0.000000
ENSG00000112304.6	ACOT13	chr6	24667262	4.907852
ENSG00000249617.1	RP11-366M4.17	chr4	165967120	0.000000
ENSG00000223633.2	RP11-143A22.1	chr6	58488887	0.000000
ENSG00000172362.2	OR5B12	chr11	58207596	0.000000
ENSG00000265804.1	AC078864.2	chr12	52507708	0.000000
ENSG00000228046.2	RP11-15B24.2	chr9	85042890	0.000000
ENSG00000235852.1	AC005540.3	chr2	191746735	0.214125
ENSG00000244501.2	RN7SL623P	chr5	170293838	0.000000
ENSG00000255606.1	AP000439.2	chr11	69259461	0.000000
ENSG00000260778.2	MIR940	chr16	2318155	0.000000
ENSG00000173272.9	MZT2A	chr2	132249494	3.726831
ENSG00000252963.1	RN7SKP147	chr21	21728964	0.000000
ENSG00000221424.1	AC090954.1	chr3	15175987	0.000000
ENSG00000258044.1	RP11-530C5.2	chr12	80217557	0.000000
ENSG00000138757.10	G3BP2	chr4	76574236	5.342697
ENSG00000244480.1	AC005154.7	chr7	30564101	0.000000
ENSG00000225805.3	CTD-2313N18.7	chr11	71589498	0.000000
ENSG00000175556.12	LONRF3	chrX	118108580	0.000000
ENSG00000271646.1	RP11-326I11.3	chr4	185395955	0.084064
ENSG00000112851.10	ERBB2IP	chr5	65222302	0.748461
ENSG00000197506.6	SLC28A3	chr9	86955524	0.000000
ENSG00000267127.2	RP11-795F19.5	chr18	77794345	1.879706
ENSG00000223623.1	RP3-425P12.1	chr6	25057251	0.000000
ENSG00000224359.1	RP11-467I20.2	chr1	240693751	0.000000
ENSG00000229459.1	AC023669.1	chr7	46300661	0.000000
ENSG00000236140.1	RP11-89F3.2	chr1	148248054	0.000000
ENSG00000242753.1	RP11-716O23.2	chr6	11487458	0.000000
ENSG00000227261.1	YWHAZP7	chrX	63833092	0.000000
ENSG00000199145.1	MIR302D	chr4	113569177	0.000000
ENSG00000252294.1	RNU6-589P	chrX	101933691	0.000000
ENSG00000100558.4	PLEK2	chr14	67859378	0.000000
